date,kg_CO2/kWh,Outdoor Drybulb Temperature [C],Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],Solar Generation [W/kW]
2022-08-02 19:00:00,0.225780609,22.8,68,27,147,20.47916667
2022-08-02 20:00:00,0.221760074,22.8,61,0,0,0.0
2022-08-02 21:00:00,0.218047563,20.0,84,0,0,0.0
2022-08-02 22:00:00,0.206334679,20.6,78,0,0,0.0
2022-08-02 23:00:00,0.192631849,20.6,78,0,0,0.0
2022-08-03 00:00:00,0.179445538,19.4,79,0,0,0.0
2022-08-03 01:00:00,0.164959179,20.0,78,0,0,0.0
2022-08-03 02:00:00,0.157301437,19.4,84,0,0,0.0
2022-08-03 03:00:00,0.159028375,19.4,84,0,0,0.0
2022-08-03 04:00:00,0.156899339,19.4,84,0,0,0.0
2022-08-03 05:00:00,0.157383523,18.9,87,0,0,0.0
2022-08-03 06:00:00,0.167902475,19.4,84,27,144,6.5125
2022-08-03 07:00:00,0.178722737,21.1,76,192,395,33.02916667
2022-08-03 08:00:00,0.203115225,22.8,66,404,609,95.0125
2022-08-03 09:00:00,0.213814614,24.4,64,611,730,211.7958333
2022-08-03 10:00:00,0.215514975,23.9,66,778,793,340.425
2022-08-03 11:00:00,0.231230607,25.0,62,897,811,497.0208333
2022-08-03 12:00:00,0.240237428,25.0,58,958,815,582.4625
2022-08-03 13:00:00,0.245547616,25.0,58,960,819,629.625
2022-08-03 14:00:00,0.243696261,24.4,58,901,812,638.3333333
2022-08-03 15:00:00,0.245652764,25.0,56,790,771,603.0125
2022-08-03 16:00:00,0.249076077,23.9,64,632,604,520.8875
2022-08-03 17:00:00,0.247514031,23.3,64,362,293,394.5708333
2022-08-03 18:00:00,0.249968532,22.8,64,124,31,216.3875
2022-08-03 19:00:00,0.251275987,22.2,68,13,13,18.82916667
2022-08-03 20:00:00,0.245602433,21.1,78,0,0,0.0
2022-08-03 21:00:00,0.237834836,20.6,78,0,0,0.0
2022-08-03 22:00:00,0.214810252,20.6,73,0,0,0.0
2022-08-03 23:00:00,0.196685107,20.0,76,0,0,0.0
2022-08-04 00:00:00,0.175583999,18.9,84,0,0,0.0
2022-08-04 01:00:00,0.170252216,19.4,81,0,0,0.0
2022-08-04 02:00:00,0.158084038,20.0,81,0,0,0.0
2022-08-04 03:00:00,0.156934374,19.4,84,0,0,0.0
2022-08-04 04:00:00,0.160846494,18.9,87,0,0,0.0
2022-08-04 05:00:00,0.167702865,18.9,87,0,0,0.0
2022-08-04 06:00:00,0.169009434,18.9,87,13,7,3.816666667
2022-08-04 07:00:00,0.182723892,20.0,81,80,5,33.87916667
2022-08-04 08:00:00,0.200148591,21.1,76,418,512,93.92083333
2022-08-04 09:00:00,0.205994471,23.9,64,616,736,221.9875
2022-08-04 10:00:00,0.211852394,25.6,60,778,793,364.2166667
2022-08-04 11:00:00,0.226020694,23.3,71,897,739,482.7166667
2022-08-04 12:00:00,0.227959866,22.2,71,720,276,570.9791667
2022-08-04 13:00:00,0.225446104,22.2,71,474,66,622.7166667
2022-08-04 14:00:00,0.224838237,22.2,73,441,30,635.5833333
2022-08-04 15:00:00,0.23203483,21.7,76,328,18,604.7958333
2022-08-04 16:00:00,0.232318505,20.6,81,446,206,516.6875
2022-08-04 17:00:00,0.234055991,20.0,81,437,482,382.3375
2022-08-04 18:00:00,0.233500435,20.0,78,239,325,202.8541667
2022-08-04 19:00:00,0.222798125,19.4,81,23,135,16.15416667
2022-08-04 20:00:00,0.218976397,19.4,79,0,0,0.0
2022-08-04 21:00:00,0.211730248,19.4,84,0,0,0.0
2022-08-04 22:00:00,0.192744416,18.9,84,0,0,0.0
2022-08-04 23:00:00,0.16744999,18.9,87,0,0,0.0
2022-08-05 00:00:00,0.155707331,20.0,68,0,0,0.0
2022-08-05 01:00:00,0.150139284,18.9,84,0,0,0.0
2022-08-05 02:00:00,0.144737348,20.0,78,0,0,0.0
2022-08-05 03:00:00,0.152454489,19.4,81,0,0,0.0
2022-08-05 04:00:00,0.152281554,19.4,81,0,0,0.0
2022-08-05 05:00:00,0.162601533,19.4,81,0,0,0.0
2022-08-05 06:00:00,0.163990313,19.4,79,18,52,5.270833333
2022-08-05 07:00:00,0.175024954,20.0,76,111,47,33.43333333
2022-08-05 08:00:00,0.185126069,20.0,78,218,28,101.0291667
2022-08-05 09:00:00,0.194916337,20.6,73,355,88,223.2708333
2022-08-05 10:00:00,0.204189336,21.1,73,386,41,364.1916667
2022-08-05 11:00:00,0.221456217,21.7,73,615,262,488.875
2022-08-05 12:00:00,0.215054241,21.7,70,958,749,580.6625
2022-08-05 13:00:00,0.208459148,21.7,73,960,819,632.3958333
2022-08-05 14:00:00,0.202628688,21.1,76,901,812,640.8958333
2022-08-05 15:00:00,0.198233007,20.6,75,784,771,608.9
2022-08-05 16:00:00,0.193537565,20.0,78,626,698,528.4166667
2022-08-05 17:00:00,0.197596264,20.0,78,438,580,404.2333333
2022-08-05 18:00:00,0.210797511,19.4,79,242,319,232.5299998
2022-08-05 19:00:00,0.212768618,19.4,79,22,129,14.36666667
2022-08-05 20:00:00,0.210974141,19.4,76,0,0,0.0
2022-08-05 21:00:00,0.189584042,19.4,76,0,0,0.0
2022-08-05 22:00:00,0.158120416,19.4,76,0,0,0.0
2022-08-05 23:00:00,0.151554461,20.0,73,0,0,0.0
2022-08-06 00:00:00,0.136222185,18.9,78,0,0,0.0
2022-08-06 01:00:00,0.120232887,20.0,68,0,0,0.0
2022-08-06 02:00:00,0.116866356,19.4,73,0,0,0.0
2022-08-06 03:00:00,0.121238741,20.0,65,0,0,0.0
2022-08-06 04:00:00,0.116806501,20.0,63,0,0,0.0
2022-08-06 05:00:00,0.117776032,20.0,63,0,0,0.0
2022-08-06 06:00:00,0.122667511,20.0,63,9,0,4.808333333
2022-08-06 07:00:00,0.119220209,20.0,63,144,168,32.59583333
2022-08-06 08:00:00,0.127136918,21.1,59,152,11,100.2
2022-08-06 09:00:00,0.142221787,21.7,57,427,210,223.8541667
2022-08-06 10:00:00,0.158952836,21.1,68,618,343,366.6708333
2022-08-06 11:00:00,0.168552644,21.1,66,810,572,492.4125
2022-08-06 12:00:00,0.174538085,22.2,61,875,593,581.0208333
2022-08-06 13:00:00,0.176565932,22.8,61,677,259,633.2833333
2022-08-06 14:00:00,0.17817705,22.2,66,786,497,645.0541667
2022-08-06 15:00:00,0.179068814,22.2,61,711,569,617.8333333
2022-08-06 16:00:00,0.177239496,21.7,61,526,436,536.0875
2022-08-06 17:00:00,0.181898019,20.6,68,356,333,406.35
2022-08-06 18:00:00,0.187255355,20.0,70,193,195,234.225
2022-08-06 19:00:00,0.189491962,19.4,73,17,77,15.41666667
2022-08-06 20:00:00,0.18843024,19.4,76,0,0,0.0
2022-08-06 21:00:00,0.187124612,18.9,78,0,0,0.0
2022-08-06 22:00:00,0.171218951,19.4,79,0,0,0.0
2022-08-06 23:00:00,0.154094635,19.4,79,0,0,0.0
2022-08-07 00:00:00,0.146224216,18.3,84,0,0,0.0
2022-08-07 01:00:00,0.142514321,18.3,84,0,0,0.0
2022-08-07 02:00:00,0.140922901,17.2,87,0,0,0.0
2022-08-07 03:00:00,0.138052777,17.2,84,0,0,0.0
2022-08-07 04:00:00,0.140764431,17.2,84,0,0,0.0
2022-08-07 05:00:00,0.150496172,17.2,84,0,0,0.0
2022-08-07 06:00:00,0.160009949,17.8,80,21,126,4.341666667
2022-08-07 07:00:00,0.171795008,18.9,75,178,387,29.4625
2022-08-07 08:00:00,0.192320835,20.0,70,365,483,98.22916667
2022-08-07 09:00:00,0.198253106,20.6,68,573,602,223.3541667
2022-08-07 10:00:00,0.201965631,20.6,68,739,657,366.4416667
2022-08-07 11:00:00,0.206012494,21.7,63,862,709,490.6916667
2022-08-07 12:00:00,0.209115809,22.2,61,934,749,582.975
2022-08-07 13:00:00,0.211772426,22.2,61,942,771,632.89375
2022-08-07 14:00:00,0.209193881,22.2,61,895,812,648.8166667
2022-08-07 15:00:00,0.201959706,21.7,66,785,771,615.8041667
2022-08-07 16:00:00,0.199106249,21.1,68,620,680,526.85
2022-08-07 17:00:00,0.200607485,20.6,70,416,477,395.3375
2022-08-07 18:00:00,0.200293564,20.0,68,183,173,226.4583333
2022-08-07 19:00:00,0.200979254,19.4,70,15,66,11.68333333
2022-08-07 20:00:00,0.201285063,18.9,75,0,0,0.0
2022-08-07 21:00:00,0.191621344,18.3,81,0,0,0.0
2022-08-07 22:00:00,0.17962455,18.3,84,0,0,0.0
2022-08-07 23:00:00,0.167309834,18.3,87,0,0,0.0
2022-08-08 00:00:00,0.149089813,18.3,78,0,0,0.0
2022-08-08 01:00:00,0.14422876,17.8,84,0,0,0.0
2022-08-08 02:00:00,0.139924148,17.8,84,0,0,0.0
2022-08-08 03:00:00,0.142054887,17.2,84,0,0,0.0
2022-08-08 04:00:00,0.141123548,17.2,84,0,0,0.0
2022-08-08 05:00:00,0.146978107,17.2,81,0,0,0.0
2022-08-08 06:00:00,0.157425106,17.8,80,18,108,2.8375
2022-08-08 07:00:00,0.167966386,18.9,75,181,397,28.75416667
2022-08-08 08:00:00,0.18931839,20.0,70,369,471,100.9416667
2022-08-08 09:00:00,0.200794345,21.0,64,541,520,223.1666667
2022-08-08 10:00:00,0.198355914,21.7,66,711,568,364.75
2022-08-08 11:00:00,0.200620718,22.2,64,873,727,489.5458333
2022-08-08 12:00:00,0.201937503,22.8,59,934,749,580.35
2022-08-08 13:00:00,0.203323791,22.2,61,936,759,632.5
2022-08-08 14:00:00,0.206334472,22.2,59,896,812,644.8666667
2022-08-08 15:00:00,0.207808203,21.7,63,779,771,612.3583333
2022-08-08 16:00:00,0.204829041,21.7,66,621,692,534.9625
2022-08-08 17:00:00,0.207238901,20.6,68,417,549,410.7333333
2022-08-08 18:00:00,0.20766042,20.0,70,186,214,241.4916667
2022-08-08 19:00:00,0.207287073,19.4,73,14,79,11.71666667
2022-08-08 20:00:00,0.205913354,18.3,81,0,0,0.0
2022-08-08 21:00:00,0.193582041,18.9,78,0,0,0.0
2022-08-08 22:00:00,0.170468561,18.3,78,0,0,0.0
2022-08-08 23:00:00,0.156312582,18.3,78,0,0,0.0
2022-08-09 00:00:00,0.135887417,18.3,81,0,0,0.0
2022-08-09 01:00:00,0.128067703,17.8,84,0,0,0.0
2022-08-09 02:00:00,0.1285225,18.3,78,0,0,0.0
2022-08-09 03:00:00,0.122939406,17.2,81,0,0,0.0
2022-08-09 04:00:00,0.123720194,17.2,84,0,0,0.0
2022-08-09 05:00:00,0.128624713,17.2,84,0,0,0.0
2022-08-09 06:00:00,0.136038855,17.8,78,17,100,7.816666667
2022-08-09 07:00:00,0.151826481,18.9,75,188,438,31.44583333
2022-08-09 08:00:00,0.167848544,20.0,70,401,625,99.28333333
2022-08-09 09:00:00,0.179835095,21.7,61,609,736,226.5708333
2022-08-09 10:00:00,0.180359021,21.7,66,772,793,372.5
2022-08-09 11:00:00,0.186981439,22.2,64,891,810,501.45
2022-08-09 12:00:00,0.192898193,22.2,64,952,815,594.9083333
2022-08-09 13:00:00,0.199682499,21.7,68,955,819,644.1458333
2022-08-09 14:00:00,0.200175833,21.7,66,896,812,651.0416667
2022-08-09 15:00:00,0.205704526,21.7,68,779,771,618.1958333
2022-08-09 16:00:00,0.213303354,21.7,68,615,680,541.2791667
2022-08-09 17:00:00,0.221989168,20.6,70,385,438,415.0083333
2022-08-09 18:00:00,0.227087191,19.4,79,189,199,237.6833333
2022-08-09 19:00:00,0.219859287,18.9,75,13,71,8.625
2022-08-09 20:00:00,0.214030046,18.9,75,0,0,0.0
2022-08-09 21:00:00,0.2042864,18.9,81,0,0,0.0
2022-08-09 22:00:00,0.190879274,18.9,81,0,0,0.0
2022-08-09 23:00:00,0.167551345,18.9,81,0,0,0.0
2022-08-10 00:00:00,0.139037603,17.8,84,0,0,0.0
2022-08-10 01:00:00,0.128324399,18.9,78,0,0,0.0
2022-08-10 02:00:00,0.125245627,18.9,78,0,0,0.0
2022-08-10 03:00:00,0.125261781,18.9,75,0,0,0.0
2022-08-10 04:00:00,0.124736734,18.9,70,0,0,0.0
2022-08-10 05:00:00,0.127860979,19.4,66,0,0,0.0
2022-08-10 06:00:00,0.133986063,20.0,63,4,0,0.6375
2022-08-10 07:00:00,0.149967388,19.4,66,116,83,23.19166667
2022-08-10 08:00:00,0.170966159,20.0,63,269,114,93.82083333
2022-08-10 09:00:00,0.184279709,21.1,59,442,239,222.7958333
2022-08-10 10:00:00,0.201266985,21.1,68,771,710,370.6125
2022-08-10 11:00:00,0.207849689,21.7,63,891,810,496.3666667
2022-08-10 12:00:00,0.214957994,22.2,59,952,815,593.45
2022-08-10 13:00:00,0.220329255,22.2,61,949,819,644.675
2022-08-10 14:00:00,0.222729245,21.7,66,890,813,645.65
2022-08-10 15:00:00,0.225376559,21.1,71,780,772,608.4541667
2022-08-10 16:00:00,0.227619423,20.6,73,615,693,533.4083333
2022-08-10 17:00:00,0.228857319,20.6,70,420,570,407.9916667
2022-08-10 18:00:00,0.223583938,20.0,70,219,289,230.2625
2022-08-10 19:00:00,0.215415891,19.4,76,14,99,4.991666667
2022-08-10 20:00:00,0.205312256,18.9,78,0,0,0.0
2022-08-10 21:00:00,0.196212759,18.9,78,0,0,0.0
2022-08-10 22:00:00,0.186631569,18.9,78,0,0,0.0
2022-08-10 23:00:00,0.165772552,18.3,87,0,0,0.0
2022-08-11 00:00:00,0.141335616,18.9,78,0,0,0.0
2022-08-11 01:00:00,0.131684383,17.8,84,0,0,0.0
2022-08-11 02:00:00,0.130912233,17.8,84,0,0,0.0
2022-08-11 03:00:00,0.129383602,18.3,81,0,0,0.0
2022-08-11 04:00:00,0.128692182,17.8,80,0,0,0.0
2022-08-11 05:00:00,0.134894368,17.8,80,0,0,0.0
2022-08-11 06:00:00,0.141746531,18.3,78,15,70,0.208333333
2022-08-11 07:00:00,0.151787556,19.4,73,100,42,20.4375
2022-08-11 08:00:00,0.166716267,20.6,68,221,45,85.83333333
2022-08-11 09:00:00,0.186163955,20.0,73,291,58,216.3916667
2022-08-11 10:00:00,0.200043817,20.6,70,705,491,360.1708333
2022-08-11 11:00:00,0.208753703,21.7,66,856,685,486.3
2022-08-11 12:00:00,0.210875444,21.7,66,917,701,575.6833333
2022-08-11 13:00:00,0.214028675,21.7,63,924,741,624.9125
2022-08-11 14:00:00,0.215823885,21.7,63,877,764,626.8666667
2022-08-11 15:00:00,0.217340777,21.7,68,773,772,592.6458333
2022-08-11 16:00:00,0.21607946,21.1,68,609,693,516.2333333
2022-08-11 17:00:00,0.214623267,21.1,71,421,564,389.775
2022-08-11 18:00:00,0.210543002,21.1,66,223,283,220.0291667
2022-08-11 19:00:00,0.201840107,20.0,70,12,93,5.3875
2022-08-11 20:00:00,0.200585212,19.4,79,0,0,0.0
2022-08-11 21:00:00,0.184369824,18.9,81,0,0,0.0
2022-08-11 22:00:00,0.168201681,18.9,81,0,0,0.0
2022-08-11 23:00:00,0.15477811,19.4,76,0,0,0.0
2022-08-12 00:00:00,0.135467477,20.0,76,0,0,0.0
2022-08-12 01:00:00,0.125164233,18.9,78,0,0,0.0
2022-08-12 02:00:00,0.122069791,18.9,78,0,0,0.0
2022-08-12 03:00:00,0.119019659,18.9,78,0,0,0.0
2022-08-12 04:00:00,0.119572765,18.9,78,0,0,0.0
2022-08-12 05:00:00,0.122675194,18.3,81,0,0,0.0
2022-08-12 06:00:00,0.127964411,18.9,78,16,106,2.129166667
2022-08-12 07:00:00,0.129229216,20.0,73,189,452,25.10833333
2022-08-12 08:00:00,0.142584322,21.7,66,400,629,81.1375
2022-08-12 09:00:00,0.153311992,22.8,66,603,735,204.2083333
2022-08-12 10:00:00,0.17414947,23.3,64,766,792,342.8708333
2022-08-12 11:00:00,0.181612655,23.3,64,885,810,464.6083333
2022-08-12 12:00:00,0.182946577,22.8,66,947,815,553.4375
2022-08-12 13:00:00,0.184840996,22.8,68,949,819,604.5041667
2022-08-12 14:00:00,0.187889481,22.8,68,890,813,618.7125
2022-08-12 15:00:00,0.191261148,22.8,68,774,766,586.8083333
2022-08-12 16:00:00,0.188430309,22.8,61,602,675,499.025
2022-08-12 17:00:00,0.19303958,21.7,68,397,552,368.8791667
2022-08-12 18:00:00,0.198444521,21.1,71,213,277,192.7333333
2022-08-12 19:00:00,0.195061074,20.6,73,11,87,4.3125
2022-08-12 20:00:00,0.191599902,20.6,75,0,0,0.0
2022-08-12 21:00:00,0.183836832,20.6,75,0,0,0.0
2022-08-12 22:00:00,0.171710001,20.0,84,0,0,0.0
2022-08-12 23:00:00,0.156639362,20.0,78,0,0,0.0
2022-08-13 00:00:00,0.145751258,20.0,81,0,0,0.0
2022-08-13 01:00:00,0.143074652,20.0,76,0,0,0.0
2022-08-13 02:00:00,0.137237272,20.0,76,0,0,0.0
2022-08-13 03:00:00,0.136501957,19.4,84,0,0,0.0
2022-08-13 04:00:00,0.132436669,18.9,84,0,0,0.0
2022-08-13 05:00:00,0.130842328,18.9,84,0,0,0.0
2022-08-13 06:00:00,0.129846012,19.4,81,13,98,0.0
2022-08-13 07:00:00,0.130164971,20.6,78,188,425,15.59166667
2022-08-13 08:00:00,0.142107946,22.2,71,395,629,74.39583333
2022-08-13 09:00:00,0.157846984,23.9,62,602,712,201.325
2022-08-13 10:00:00,0.177662994,23.3,71,721,591,338.5083333
2022-08-13 11:00:00,0.18359366,24.4,64,885,787,458.6333333
2022-08-13 12:00:00,0.189477026,23.3,69,947,815,548.0708333
2022-08-13 13:00:00,0.192532501,23.3,66,943,783,599.9541667
2022-08-13 14:00:00,0.197428936,22.8,71,833,606,609.4916667
2022-08-13 15:00:00,0.201948798,22.8,71,768,747,579.7791667
2022-08-13 16:00:00,0.208015135,22.2,73,611,687,496.7416667
2022-08-13 17:00:00,0.209382181,22.2,68,416,467,361.375
2022-08-13 18:00:00,0.213103828,21.1,68,145,66,187.9041667
2022-08-13 19:00:00,0.2144585,20.6,73,6,20,2.858333333
2022-08-13 20:00:00,0.206365077,20.6,75,0,0,0.0
2022-08-13 21:00:00,0.198864558,20.6,78,0,0,0.0
2022-08-13 22:00:00,0.186194311,20.6,78,0,0,0.0
2022-08-13 23:00:00,0.168808524,20.0,84,0,0,0.0
2022-08-14 00:00:00,0.143375174,18.9,84,0,0,0.0
2022-08-14 01:00:00,0.139070687,20.0,81,0,0,0.0
2022-08-14 02:00:00,0.136526749,19.4,84,0,0,0.0
2022-08-14 03:00:00,0.132855391,19.4,84,0,0,0.0
2022-08-14 04:00:00,0.132727306,19.4,81,0,0,0.0
2022-08-14 05:00:00,0.138465879,19.0,83,0,0,0.0
2022-08-14 06:00:00,0.143514277,19.4,81,6,0,0.0
2022-08-14 07:00:00,0.157367853,19.4,81,48,0,13.02083333
2022-08-14 08:00:00,0.170977316,20.0,81,103,0,72.1875
2022-08-14 09:00:00,0.182170745,20.6,78,285,58,199.1791667
2022-08-14 10:00:00,0.194052784,21.7,73,506,195,337.2333333
2022-08-14 11:00:00,0.2086891,23.3,66,867,697,457.8208333
2022-08-14 12:00:00,0.208664931,22.8,71,935,791,545.8916667
2022-08-14 13:00:00,0.209876249,22.8,68,937,795,595.1583333
2022-08-14 14:00:00,0.217462772,22.2,71,885,813,612.4791667
2022-08-14 15:00:00,0.220576358,21.7,73,768,766,585.2166667
2022-08-14 16:00:00,0.222579469,21.1,76,604,544,505.375
2022-08-14 17:00:00,0.21970803,20.0,81,204,46,373.9583333
2022-08-14 18:00:00,0.216674896,19.4,84,104,0,202.1833333
2022-08-14 19:00:00,0.214047903,18.9,84,4,0,2.041666667
2022-08-14 20:00:00,0.213968709,18.3,87,0,0,0.0
2022-08-14 21:00:00,0.215287861,18.3,87,0,0,0.0
2022-08-14 22:00:00,0.194112584,18.3,90,0,0,0.0
2022-08-14 23:00:00,0.178791603,20.0,78,0,0,0.0
2022-08-15 00:00:00,0.164408122,18.3,84,0,0,0.0
2022-08-15 01:00:00,0.153350225,18.9,84,0,0,0.0
2022-08-15 02:00:00,0.152097448,18.3,84,0,0,0.0
2022-08-15 03:00:00,0.147081359,18.3,87,0,0,0.0
2022-08-15 04:00:00,0.149953573,18.9,84,0,0,0.0
2022-08-15 05:00:00,0.152135737,18.3,84,0,0,0.0
2022-08-15 06:00:00,0.163028603,18.9,81,3,0,0.433333333
2022-08-15 07:00:00,0.176840513,19.4,79,51,0,7.608333333
2022-08-15 08:00:00,0.192284041,20.6,75,131,0,70.32083333
2022-08-15 09:00:00,0.203689247,20.6,75,462,262,199.6875
2022-08-15 10:00:00,0.208694304,21.1,73,699,562,339.8208333
2022-08-15 11:00:00,0.210439875,21.7,70,885,787,463.5083333
2022-08-15 12:00:00,0.211507785,21.7,68,941,815,548.8583333
2022-08-15 13:00:00,0.214128466,22.2,68,944,820,600.2291667
2022-08-15 14:00:00,0.212492445,21.7,73,885,813,615.2125
2022-08-15 15:00:00,0.208755336,21.7,70,762,766,585.9708333
2022-08-15 16:00:00,0.212540437,21.1,73,605,688,507.4666667
2022-08-15 17:00:00,0.214913088,20.0,78,411,554,374.925
2022-08-15 18:00:00,0.213453629,19.4,79,212,260,203.0116669
2022-08-15 19:00:00,0.213438541,18.9,78,7,70,0.445833333
2022-08-15 20:00:00,0.214948359,18.9,78,0,0,0.0
2022-08-15 21:00:00,0.207455592,19.4,76,0,0,0.0
2022-08-15 22:00:00,0.19945742,18.9,81,0,0,0.0
2022-08-15 23:00:00,0.191768642,20.0,76,0,0,0.0
2022-08-16 00:00:00,0.172662754,18.9,75,0,0,0.0
2022-08-16 01:00:00,0.159044294,18.3,81,0,0,0.0
2022-08-16 02:00:00,0.157948824,18.3,84,0,0,0.0
2022-08-16 03:00:00,0.158444663,17.8,84,0,0,0.0
2022-08-16 04:00:00,0.158130161,17.8,84,0,0,0.0
2022-08-16 05:00:00,0.160286661,17.2,87,0,0,0.0
2022-08-16 06:00:00,0.169397911,17.8,84,12,89,0.0
2022-08-16 07:00:00,0.186758657,19.4,79,182,443,6.004166667
2022-08-16 08:00:00,0.195116181,20.0,81,393,628,72.82916667
2022-08-16 09:00:00,0.207615985,21.1,73,596,735,209.7875
2022-08-16 10:00:00,0.212810242,22.2,66,759,792,357.5416667
2022-08-16 11:00:00,0.217068052,22.8,59,879,810,485.525
2022-08-16 12:00:00,0.223075447,22.2,64,941,797,575.8958333
2022-08-16 13:00:00,0.229344257,22.2,57,870,566,627.3958333
2022-08-16 14:00:00,0.230877151,22.2,61,879,758,637.25
2022-08-16 15:00:00,0.229965095,22.2,59,729,668,603.6020833
2022-08-16 16:00:00,0.234233591,22.2,59,584,638,527.2625
2022-08-16 17:00:00,0.234652715,21.1,66,352,430,405.725
2022-08-16 18:00:00,0.236860986,20.6,68,186,246,226.5083333
2022-08-16 19:00:00,0.239469694,19.4,70,5,62,0.0
2022-08-16 20:00:00,0.228690295,19.4,68,0,0,0.0
2022-08-16 21:00:00,0.219425919,20.0,68,0,0,0.0
2022-08-16 22:00:00,0.205291132,19.4,70,0,0,0.0
2022-08-16 23:00:00,0.189213478,18.9,84,0,0,0.0
2022-08-17 00:00:00,0.168344217,18.9,73,0,0,0.0
2022-08-17 01:00:00,0.160704789,18.9,78,0,0,0.0
2022-08-17 02:00:00,0.157031175,19.4,73,0,0,0.0
2022-08-17 03:00:00,0.149441081,18.9,78,0,0,0.0
2022-08-17 04:00:00,0.150431583,17.8,78,0,0,0.0
2022-08-17 05:00:00,0.152191938,18.3,84,0,0,0.0
2022-08-17 06:00:00,0.159811032,18.9,84,9,74,0.0
2022-08-17 07:00:00,0.169598364,20.6,75,134,175,6.758333333
2022-08-17 08:00:00,0.184838851,20.0,78,393,538,70.49166667
2022-08-17 09:00:00,0.195186861,20.6,70,523,467,202.4833333
2022-08-17 10:00:00,0.199316544,21.1,71,759,709,344.4875
2022-08-17 11:00:00,0.202872109,21.7,66,804,602,470.2875
2022-08-17 12:00:00,0.213030075,20.6,73,941,773,562.8041667
2022-08-17 13:00:00,0.224455865,22.2,57,858,603,615.5916667
2022-08-17 14:00:00,0.225162817,21.7,63,879,789,628.1958333
2022-08-17 15:00:00,0.224052065,21.1,61,756,766,591.0375
2022-08-17 16:00:00,0.226521586,21.1,63,592,682,508.6
2022-08-17 17:00:00,0.22835435,20.6,63,397,523,381.6833333
2022-08-17 18:00:00,0.226583019,20.6,65,175,189,194.5541667
2022-08-17 19:00:00,0.217495661,19.4,73,4,45,0.0
2022-08-17 20:00:00,0.212148791,19.4,73,0,0,0.0
2022-08-17 21:00:00,0.204432203,19.4,76,0,0,0.0
2022-08-17 22:00:00,0.184955931,19.4,79,0,0,0.0
2022-08-17 23:00:00,0.175523604,18.9,78,0,0,0.0
